threshold,coverage_pct,answered_count,abstained_count,accuracy,macro_f1,yalan_f1,dogru_f1,is_default_operating_point
0.5,83.8,419,81,0.506,0.4602,0.6174,0.303,False
0.55,83.0,415,85,0.5036,0.4558,0.6171,0.2945,False
0.6,81.6,408,92,0.5049,0.4563,0.6189,0.2937,False
0.65,80.0,400,100,0.505,0.4542,0.6207,0.2878,False
0.7,78.6,393,107,0.5013,0.449,0.6187,0.2794,False
0.75,77.4,387,113,0.4987,0.4464,0.6166,0.2761,True
0.8,75.2,376,124,0.4973,0.4414,0.6182,0.2646,False
0.85,72.4,362,138,0.4917,0.429,0.6183,0.2397,False
0.9,67.8,339,161,0.4867,0.42,0.6167,0.2232,False
